State,Crop,Season,Year,Area,Production
Maharashtra,Rice,Rabi,2019,783.44,2955.37
Karnataka,Wheat,Kharif,2021,625.27,3090.81
Tamil Nadu,Cotton,Kharif,2023,43.78,108.34
Punjab,Maize,Kharif,2021,160.46,748.75
Tamil Nadu,Rice,Rabi,2023,131.45,410.67
Tamil Nadu,Cotton,Kharif,2022,940.37,2591.93
Tamil Nadu,Cotton,Kharif,2021,329.85,681.98
Tamil Nadu,Cotton,Rabi,2021,757.81,1644.12
Punjab,Maize,Kharif,2019,803.75,1826.79
Tamil Nadu,Wheat,Rabi,2022,676.02,2819.81
Maharashtra,Wheat,Kharif,2023,998.04,2384.96
Punjab,Rice,Rabi,2020,914.64,2653.27
Tamil Nadu,Rice,Rabi,2023,881.33,4131.91
Maharashtra,Maize,Kharif,2018,287.47,1089.3
Tamil Nadu,Cotton,Kharif,2020,750.04,3333.07
Maharashtra,Cotton,Kharif,2022,297.28,1315.77
Karnataka,Wheat,Kharif,2021,348.79,851.92
Punjab,Cotton,Rabi,2019,92.92,423.56
Punjab,Rice,Kharif,2021,457.45,1942.38
Karnataka,Wheat,Kharif,2019,617.51,3027.48
Punjab,Wheat,Rabi,2023,57.23,147.03
Maharashtra,Cotton,Kharif,2018,490.77,1588.93
Tamil Nadu,Rice,Rabi,2019,415.54,1371.73
Tamil Nadu,Cotton,Rabi,2019,671.46,1649.92
Tamil Nadu,Wheat,Kharif,2020,20.23,89.67
Tamil Nadu,Cotton,Kharif,2020,869.9,3135.85
Tamil Nadu,Maize,Rabi,2022,260.66,635.41
Punjab,Wheat,Kharif,2021,180.57,375.66
Tamil Nadu,Cotton,Rabi,2019,485.8,1595.16
Maharashtra,Rice,Rabi,2019,225.15,1087.67
Karnataka,Rice,Rabi,2018,813.08,2715.34
Karnataka,Maize,Kharif,2022,152.49,402.82
Karnataka,Wheat,Rabi,2022,107.36,391.05
Karnataka,Cotton,Rabi,2022,247.87,694.25
Maharashtra,Rice,Rabi,2023,420.36,2096.74
Maharashtra,Wheat,Rabi,2022,516.38,2059.51
Punjab,Rice,Rabi,2021,149.15,613.95
Maharashtra,Cotton,Rabi,2021,10.8,27.75
Karnataka,Maize,Kharif,2023,298.35,1363.07
Maharashtra,Cotton,Kharif,2023,503.22,2220.87
Maharashtra,Wheat,Kharif,2019,515.5,1136.47
Maharashtra,Cotton,Kharif,2023,236.68,577.09
Karnataka,Cotton,Kharif,2021,486.85,1161.5
Karnataka,Rice,Rabi,2018,74.51,330.2
Tamil Nadu,Maize,Kharif,2021,281.74,583.76
Maharashtra,Rice,Kharif,2023,557.96,2489.65
Karnataka,Wheat,Rabi,2020,579.12,2621.94
Punjab,Cotton,Rabi,2022,786.76,2135.28
Maharashtra,Maize,Kharif,2020,821.59,3576.12
Karnataka,Rice,Kharif,2019,126.54,263.48
Maharashtra,Rice,Kharif,2021,886.29,3939.09
Tamil Nadu,Rice,Kharif,2023,688.2,1784.35
Karnataka,Maize,Kharif,2022,355.19,880.68
Tamil Nadu,Cotton,Rabi,2022,177.31,602.23
Punjab,Maize,Rabi,2019,766.45,1981.55
Punjab,Maize,Kharif,2018,341.15,1626.1
Karnataka,Wheat,Kharif,2021,316.72,1232.22
Maharashtra,Rice,Rabi,2018,810.84,2328.55
Punjab,Cotton,Kharif,2018,698.03,3253.01
Karnataka,Maize,Rabi,2020,132.06,497.7
Punjab,Rice,Kharif,2019,704.82,2570.77
Tamil Nadu,Rice,Kharif,2022,160.48,390.42
Karnataka,Maize,Kharif,2019,403.57,1281.55
Punjab,Wheat,Rabi,2021,957.42,4707.61
Karnataka,Maize,Rabi,2020,790.69,3604.88
Karnataka,Wheat,Rabi,2021,593.47,1971.92
Maharashtra,Cotton,Rabi,2018,601.1,1597.99
Tamil Nadu,Wheat,Rabi,2021,685.86,1435.17
Punjab,Rice,Kharif,2023,654.36,1839.36
Maharashtra,Wheat,Rabi,2021,451.61,1346.91
Punjab,Cotton,Kharif,2022,945.79,4380.92
Karnataka,Wheat,Rabi,2018,584.15,1337.18
Punjab,Maize,Kharif,2022,688.5,2503.98
Maharashtra,Wheat,Kharif,2023,872.13,1811.56
Maharashtra,Wheat,Kharif,2020,205.42,964.79
Tamil Nadu,Cotton,Rabi,2018,115.09,560.69
Tamil Nadu,Maize,Kharif,2019,270.96,555.31
Maharashtra,Rice,Kharif,2018,614.41,2234.95
Punjab,Wheat,Kharif,2023,562.54,1289.73
Tamil Nadu,Cotton,Rabi,2023,245.23,856.01
Tamil Nadu,Wheat,Kharif,2021,515.15,2477.33
Punjab,Wheat,Rabi,2018,942.94,2547.99
Maharashtra,Rice,Rabi,2020,76.36,361.69
Karnataka,Rice,Rabi,2018,36.67,135.75
Karnataka,Wheat,Kharif,2018,111.17,480.05
Tamil Nadu,Wheat,Kharif,2023,531.33,1759.0
Punjab,Maize,Kharif,2020,320.39,671.0
Karnataka,Rice,Rabi,2022,585.95,2021.63
Tamil Nadu,Maize,Rabi,2023,619.24,1644.49
Maharashtra,Maize,Rabi,2020,575.86,2056.08
Punjab,Wheat,Kharif,2021,878.92,3332.53
Punjab,Cotton,Rabi,2020,503.52,1817.3
Maharashtra,Rice,Rabi,2018,400.26,1327.04
Maharashtra,Wheat,Kharif,2020,436.84,1424.1
Karnataka,Cotton,Kharif,2019,560.35,2146.81
Maharashtra,Maize,Rabi,2019,572.61,2423.22
Tamil Nadu,Maize,Rabi,2019,143.24,524.5
Punjab,Maize,Kharif,2021,319.85,916.23
Tamil Nadu,Rice,Rabi,2022,289.4,1377.88
Karnataka,Cotton,Rabi,2020,469.78,1812.54
Punjab,Maize,Kharif,2018,497.43,2018.58
Maharashtra,Cotton,Kharif,2019,335.88,1531.57
Maharashtra,Cotton,Rabi,2018,180.96,838.13
Tamil Nadu,Rice,Rabi,2021,671.67,1818.61
Punjab,Cotton,Kharif,2023,73.28,290.2
Tamil Nadu,Cotton,Rabi,2018,434.78,1695.73
Tamil Nadu,Rice,Kharif,2023,91.89,297.14
Maharashtra,Rice,Rabi,2022,803.32,3621.21
Tamil Nadu,Cotton,Rabi,2023,624.96,1809.27
Maharashtra,Wheat,Rabi,2021,404.99,1000.59
Karnataka,Wheat,Rabi,2023,635.24,2024.84
Punjab,Maize,Rabi,2021,50.13,247.7
Tamil Nadu,Rice,Kharif,2023,852.55,3052.37
Karnataka,Cotton,Rabi,2023,956.19,3694.32
Karnataka,Cotton,Kharif,2023,889.27,1867.73
Maharashtra,Rice,Rabi,2020,341.2,937.97
Tamil Nadu,Wheat,Rabi,2021,583.81,2300.26
Punjab,Rice,Kharif,2021,712.76,1872.62
Karnataka,Cotton,Kharif,2022,800.67,3246.19
Karnataka,Rice,Kharif,2023,584.42,1440.71
Tamil Nadu,Cotton,Kharif,2019,430.22,1256.02
Maharashtra,Cotton,Rabi,2018,591.57,1668.84
Maharashtra,Rice,Rabi,2018,994.19,4361.27
Karnataka,Wheat,Kharif,2021,257.01,1282.83
Maharashtra,Rice,Kharif,2019,687.11,1707.1
Punjab,Rice,Rabi,2018,77.91,267.99
Maharashtra,Cotton,Rabi,2023,336.73,1285.15
Karnataka,Maize,Rabi,2019,941.25,3242.38
Maharashtra,Rice,Rabi,2018,986.85,2304.32
Maharashtra,Wheat,Kharif,2021,405.26,1048.63
Maharashtra,Cotton,Kharif,2020,896.72,3493.79
Maharashtra,Rice,Kharif,2022,432.53,1013.86
Karnataka,Wheat,Rabi,2021,280.97,676.9
Maharashtra,Maize,Kharif,2023,968.71,4324.77
Tamil Nadu,Cotton,Rabi,2018,929.03,4092.99
Punjab,Wheat,Kharif,2020,94.11,459.55
Karnataka,Wheat,Rabi,2022,568.62,2585.45
Tamil Nadu,Wheat,Rabi,2022,723.03,2780.36
Karnataka,Wheat,Rabi,2020,479.43,1574.95
Tamil Nadu,Cotton,Rabi,2018,132.76,619.55
Maharashtra,Wheat,Kharif,2019,487.04,2234.26
Maharashtra,Cotton,Rabi,2023,585.97,2447.44
Karnataka,Rice,Kharif,2023,579.36,1516.7
Karnataka,Maize,Kharif,2021,90.1,443.85
Punjab,Rice,Kharif,2019,476.87,1439.93
Maharashtra,Wheat,Kharif,2022,19.68,91.34
Maharashtra,Wheat,Kharif,2023,924.93,3317.53
Maharashtra,Maize,Rabi,2018,673.07,2854.22
Punjab,Wheat,Rabi,2020,323.93,1176.41
Tamil Nadu,Maize,Kharif,2019,881.13,1840.4
Punjab,Maize,Rabi,2018,487.66,1184.58
Karnataka,Wheat,Rabi,2023,660.21,2031.13
Karnataka,Rice,Kharif,2018,451.86,1428.91
Karnataka,Wheat,Rabi,2019,106.0,221.3
Karnataka,Cotton,Kharif,2020,10.5,24.42
Punjab,Maize,Kharif,2020,566.36,2695.26
Punjab,Wheat,Kharif,2019,168.91,411.5
Punjab,Wheat,Rabi,2020,194.87,539.37
Karnataka,Wheat,Kharif,2020,898.21,3488.8
Punjab,Maize,Rabi,2019,991.85,4462.81
Karnataka,Rice,Kharif,2022,86.36,409.28
Karnataka,Maize,Kharif,2018,590.67,1694.21
Punjab,Maize,Rabi,2020,492.15,1452.4
Tamil Nadu,Cotton,Kharif,2018,651.11,1754.0
Karnataka,Rice,Kharif,2021,347.33,1597.7
Punjab,Rice,Kharif,2020,698.3,1566.91
Karnataka,Rice,Rabi,2022,991.28,2264.74
Punjab,Wheat,Rabi,2019,980.87,4143.87
Maharashtra,Wheat,Rabi,2021,485.78,2287.15
Punjab,Rice,Rabi,2018,202.22,833.66
Tamil Nadu,Cotton,Kharif,2021,866.53,1778.02
Punjab,Rice,Rabi,2023,407.3,1730.23
Karnataka,Cotton,Rabi,2018,794.56,3736.33
Karnataka,Maize,Kharif,2023,499.21,1497.96
Karnataka,Maize,Rabi,2019,475.5,2204.89
Tamil Nadu,Maize,Rabi,2022,687.19,2164.59
Karnataka,Wheat,Rabi,2021,599.66,2523.82
Karnataka,Rice,Rabi,2022,751.48,1568.21
Tamil Nadu,Cotton,Kharif,2018,658.58,1678.86
Tamil Nadu,Cotton,Kharif,2019,978.85,3020.06
Tamil Nadu,Wheat,Kharif,2020,641.78,2034.61
Tamil Nadu,Wheat,Rabi,2020,652.11,1438.51
Maharashtra,Maize,Rabi,2023,16.6,51.96
Tamil Nadu,Maize,Rabi,2022,973.31,4504.62
Punjab,Cotton,Kharif,2022,374.18,1309.89
Tamil Nadu,Cotton,Kharif,2019,875.37,2154.1
Punjab,Wheat,Rabi,2022,664.13,1504.22
Tamil Nadu,Cotton,Rabi,2023,754.62,1981.1
Punjab,Cotton,Rabi,2020,754.65,2258.46
Karnataka,Rice,Rabi,2022,902.84,3877.26
Punjab,Cotton,Rabi,2019,315.18,977.79
Punjab,Cotton,Kharif,2019,94.86,369.55
Karnataka,Cotton,Kharif,2020,840.6,2323.68
Punjab,Rice,Rabi,2022,78.49,278.32
Maharashtra,Cotton,Kharif,2020,391.91,1198.87
Maharashtra,Wheat,Kharif,2023,69.55,206.16
Punjab,Maize,Kharif,2020,70.22,269.73
Tamil Nadu,Maize,Kharif,2019,140.95,369.47
Tamil Nadu,Maize,Rabi,2023,314.19,1404.9
Maharashtra,Rice,Rabi,2020,226.83,1066.58
Maharashtra,Cotton,Kharif,2018,545.16,1668.99
Karnataka,Maize,Kharif,2021,677.73,2617.21
Maharashtra,Maize,Kharif,2022,972.82,4039.63
Maharashtra,Rice,Kharif,2023,652.92,3235.54
Tamil Nadu,Wheat,Kharif,2020,914.2,2544.05
Punjab,Wheat,Kharif,2018,584.92,2435.32
Karnataka,Maize,Kharif,2023,562.28,2716.04
Punjab,Wheat,Rabi,2019,460.94,2064.5
Tamil Nadu,Wheat,Kharif,2020,234.49,1037.36
Maharashtra,Rice,Kharif,2020,295.3,801.0
Maharashtra,Cotton,Rabi,2022,381.01,1169.01
Karnataka,Wheat,Rabi,2023,981.1,2110.1
Punjab,Rice,Kharif,2018,504.38,1245.82
Punjab,Wheat,Kharif,2023,645.7,1390.33
Karnataka,Wheat,Kharif,2021,501.09,1271.66
Punjab,Rice,Rabi,2020,920.67,2365.1
Maharashtra,Maize,Kharif,2019,404.54,953.61
Punjab,Wheat,Kharif,2018,906.77,4069.59
Maharashtra,Rice,Kharif,2022,217.03,770.23
Karnataka,Cotton,Rabi,2023,855.92,4170.07
Karnataka,Maize,Rabi,2022,400.25,1949.29
Maharashtra,Rice,Kharif,2020,373.73,1628.81
Tamil Nadu,Cotton,Kharif,2021,792.35,1693.62
Karnataka,Wheat,Rabi,2018,451.83,1272.79
Maharashtra,Wheat,Kharif,2022,806.56,3145.31
Tamil Nadu,Wheat,Rabi,2018,828.19,2654.09
Maharashtra,Cotton,Rabi,2020,93.81,365.13
Karnataka,Wheat,Rabi,2022,507.13,1229.72
Karnataka,Rice,Kharif,2018,447.19,1461.31
Karnataka,Cotton,Rabi,2018,377.2,1632.11
Tamil Nadu,Rice,Kharif,2023,364.74,1732.7
Karnataka,Maize,Rabi,2023,73.61,166.89
Punjab,Wheat,Rabi,2023,861.89,3286.57
Maharashtra,Cotton,Rabi,2023,285.3,1266.68
Punjab,Wheat,Rabi,2019,577.2,2765.25
Maharashtra,Rice,Kharif,2018,400.25,1881.58
Tamil Nadu,Cotton,Rabi,2020,85.1,233.03
Maharashtra,Rice,Rabi,2019,332.92,947.23
Tamil Nadu,Cotton,Rabi,2022,820.56,2706.38
Karnataka,Wheat,Kharif,2023,607.57,2788.13
Maharashtra,Wheat,Rabi,2018,896.73,2598.24
Maharashtra,Wheat,Rabi,2018,990.07,4152.45
Karnataka,Cotton,Kharif,2023,182.07,785.78
Punjab,Wheat,Rabi,2023,998.35,4313.24
Karnataka,Rice,Kharif,2021,857.0,2520.55
Tamil Nadu,Cotton,Kharif,2023,307.89,694.87
Karnataka,Maize,Kharif,2020,780.18,3497.22
Punjab,Wheat,Rabi,2019,432.15,1969.5
Tamil Nadu,Wheat,Rabi,2018,540.93,1494.53
Tamil Nadu,Wheat,Rabi,2020,485.35,1101.27
Karnataka,Cotton,Kharif,2019,626.58,2817.68
Punjab,Maize,Kharif,2019,83.37,352.37
Maharashtra,Maize,Rabi,2020,782.64,1709.41
Maharashtra,Cotton,Kharif,2023,450.45,1492.1
Tamil Nadu,Wheat,Rabi,2019,346.01,1434.85
Karnataka,Wheat,Rabi,2022,289.35,880.01
Karnataka,Maize,Rabi,2018,641.26,2087.84
Maharashtra,Rice,Kharif,2023,255.06,1031.47
Punjab,Cotton,Rabi,2023,116.19,369.63
Maharashtra,Cotton,Kharif,2019,158.5,744.19
Karnataka,Rice,Rabi,2020,137.9,430.8
Karnataka,Rice,Rabi,2023,60.74,294.6
Tamil Nadu,Rice,Kharif,2019,134.85,376.76
Karnataka,Maize,Rabi,2019,651.63,1411.43
Maharashtra,Maize,Rabi,2018,286.0,1116.92
Karnataka,Rice,Rabi,2023,296.32,895.07
Tamil Nadu,Wheat,Rabi,2020,879.36,2287.34
Karnataka,Maize,Rabi,2020,725.44,3266.71
Tamil Nadu,Wheat,Rabi,2018,24.15,89.0
Maharashtra,Rice,Rabi,2020,566.22,2328.1
Maharashtra,Rice,Rabi,2021,853.86,3747.79
Karnataka,Rice,Kharif,2023,354.91,1535.94
Karnataka,Cotton,Kharif,2023,721.41,1495.66
Tamil Nadu,Wheat,Rabi,2019,907.17,3471.28
Tamil Nadu,Wheat,Rabi,2021,671.01,3002.24
Maharashtra,Maize,Rabi,2022,595.91,1961.45
Maharashtra,Wheat,Rabi,2018,967.35,4275.46
Punjab,Cotton,Kharif,2023,986.87,2242.63
Karnataka,Rice,Kharif,2020,243.25,659.51
Tamil Nadu,Cotton,Kharif,2021,147.17,660.58
Punjab,Rice,Kharif,2019,91.4,431.75
Tamil Nadu,Maize,Rabi,2020,476.45,2035.18
Tamil Nadu,Maize,Kharif,2020,666.09,2614.16
Maharashtra,Wheat,Rabi,2022,377.85,1652.75
Maharashtra,Wheat,Kharif,2022,192.39,789.45
Maharashtra,Maize,Rabi,2023,358.89,1622.86
Punjab,Cotton,Rabi,2023,558.37,1834.63
Karnataka,Cotton,Kharif,2023,358.0,980.37
Maharashtra,Wheat,Kharif,2022,132.7,478.03
Tamil Nadu,Maize,Rabi,2021,32.85,90.99
Tamil Nadu,Maize,Kharif,2022,54.93,250.52
Karnataka,Maize,Rabi,2018,795.32,3325.93
Maharashtra,Wheat,Kharif,2022,106.89,434.53
Maharashtra,Maize,Rabi,2021,345.32,1502.13
Tamil Nadu,Maize,Kharif,2018,302.62,705.64
Punjab,Rice,Rabi,2020,91.9,383.93
Punjab,Maize,Rabi,2019,125.73,444.79
Maharashtra,Cotton,Kharif,2020,168.52,531.78
Karnataka,Rice,Kharif,2023,642.54,2225.24
Punjab,Rice,Rabi,2021,678.68,1988.21
Tamil Nadu,Cotton,Kharif,2018,274.69,888.09
Punjab,Rice,Kharif,2023,898.52,2187.34
Punjab,Maize,Rabi,2023,39.41,186.49
Punjab,Rice,Rabi,2018,313.85,630.55
Tamil Nadu,Maize,Rabi,2021,710.85,2806.18
Maharashtra,Wheat,Kharif,2022,295.28,773.46
Maharashtra,Wheat,Kharif,2021,993.46,2033.12
Karnataka,Rice,Kharif,2020,571.67,1996.47
Tamil Nadu,Wheat,Rabi,2019,252.74,523.77
Punjab,Wheat,Kharif,2023,870.14,1911.23
Maharashtra,Wheat,Rabi,2019,890.55,3541.94
Punjab,Maize,Rabi,2022,345.97,1113.77
Punjab,Cotton,Kharif,2021,409.45,1349.68
Punjab,Cotton,Kharif,2023,495.66,2303.28
Karnataka,Cotton,Kharif,2021,571.16,1826.07
Punjab,Rice,Rabi,2022,839.42,2183.08
Punjab,Maize,Kharif,2022,381.79,1376.69
Maharashtra,Rice,Rabi,2020,406.0,1579.44
Tamil Nadu,Rice,Rabi,2022,881.28,4405.91
Punjab,Rice,Rabi,2020,944.15,2515.36
Punjab,Cotton,Kharif,2019,15.9,60.95
Punjab,Cotton,Rabi,2021,244.96,673.12
Maharashtra,Cotton,Rabi,2021,886.74,2453.17
Maharashtra,Rice,Rabi,2021,300.59,1325.16
Maharashtra,Wheat,Kharif,2018,389.5,1720.2
Tamil Nadu,Cotton,Rabi,2018,888.4,2151.26
Punjab,Maize,Rabi,2019,958.58,2868.28
Punjab,Rice,Rabi,2021,417.28,1239.38
Maharashtra,Maize,Kharif,2018,978.69,2093.55
Maharashtra,Cotton,Rabi,2018,681.76,2784.37
Maharashtra,Rice,Kharif,2020,254.69,775.34
Karnataka,Rice,Kharif,2018,773.59,3103.03
Tamil Nadu,Maize,Kharif,2023,52.75,109.25
Punjab,Maize,Kharif,2021,750.4,3346.33
Karnataka,Maize,Kharif,2023,144.77,542.6
Maharashtra,Wheat,Kharif,2019,483.28,1636.67
Maharashtra,Cotton,Kharif,2021,603.45,2470.29
Karnataka,Rice,Rabi,2021,913.6,3643.95
